date,nice_date,day,time,text,is_retweet,id
2015-12-15 13:30:00,"December 15, 2015 01:30 PM",Tuesday,1330,.@  megynkelly the most overrated anchor at @  FoxNews worked hard to explain away the new Monmouth poll 41 to 14 or 27 pt lead. She said 15!,FALSE,3232
2015-12-15 13:34:00,"December 15, 2015 01:34 PM",Tuesday,1334,.@  megynkelly is very bad at math. She was totally unable to figure out the difference between me and Cruz in the new Monmouth Poll 41to14.,FALSE,3233
2015-12-15 13:40:00,"December 15, 2015 01:40 PM",Tuesday,1340,I wonder if @  megynkelly and her flunkies have written their scripts yet about my debate performance tonight. No matter how well I do - bad!,FALSE,3234
2015-12-15 13:47:00,"December 15, 2015 01:47 PM",Tuesday,1347,I am in Trump International Hotel Las Vegas getting ready and waiting for the debate tonight. Look forward -   hope I get treated fairly!,FALSE,3235
2015-12-15 15:12:00,"December 15, 2015 03:12 PM",Tuesday,1512,Between Iraq war monger @  krauthammer dummy @  KarlRove deadpan @  GeorgezWill highly overrated @  megynkelly among others @  FoxNews not fair!,FALSE,3236
2015-12-15 15:23:00,"December 15, 2015 03:23 PM",Tuesday,1523,I won every debate so far according to all debate polls including @  DRUDGE_REPORT @  TIME @  Slate and more. Too bad dopey @  megynkelly lies!,FALSE,3237
2015-12-15 15:38:00,"December 15, 2015 03:38 PM",Tuesday,1538,. #JoeTheismann was great as a political analyst on @  FoxNews. He knows far more than football. Thanks for the nice words Joe!,FALSE,3238
2015-12-15 16:34:00,"December 15, 2015 04:34 PM",Tuesday,1634,#TheRemembranceProject ,FALSE,3239
2015-12-15 19:30:00,"December 15, 2015 07:30 PM",Tuesday,1930,.@  ConradMBlack what an honor to read your piece. As one of the truly great intellects and; my friend I won't forget! ,FALSE,3240
2015-12-15 19:43:00,"December 15, 2015 07:43 PM",Tuesday,1943,New PPP poll just released in Iowa- up 6 points from last poll. Leading w/ 28%! Don't worry - media won't report it! ,FALSE,3241
2015-12-15 21:12:00,"December 15, 2015 09:12 PM",Tuesday,2112,Highly respected PUBLIC POLICY POLLING (PPP) just announced that I am number one in IOWA. Thank you!,FALSE,3242
2015-12-15 21:56:00,"December 15, 2015 09:56 PM",Tuesday,2156,@SurfPHX: Geez Mr. Trump they are coming for you even before the REAL debate. @  wolfblitzer asks all negative Trump questions! #Trump,FALSE,3243
2015-12-15 21:57:00,"December 15, 2015 09:57 PM",Tuesday,2157,@BillDaley1: @  CNN @  LindseyGrahamSC @  realDonaldTrump Sour grapes graham. Dont blame Trump because you cant interest voters.,FALSE,3244
2015-12-15 22:01:00,"December 15, 2015 10:01 PM",Tuesday,2201,@twlhb: @  realDonaldTrump @  GovernorPataki just called you this PRESIDENT" !!!   But I don't want his endorsement!,FALSE,3245
2015-12-15 22:04:00,"December 15, 2015 10:04 PM",Tuesday,2204,@JaniBetancoirt: @  CNN @  LindseyGrahamSC @  realDonaldTrump Pataki needs a brain surgeon!,FALSE,3246
2015-12-15 22:06:00,"December 15, 2015 10:06 PM",Tuesday,2206,@DonaldTrumpFink: .@  GovMikeHuckabee: If  Donald becomes president he will do a whole lot more to protect us than Hillary will. #GOPDebate,FALSE,3247
2015-12-15 22:11:00,"December 15, 2015 10:11 PM",Tuesday,2211,@ConradMBlack: Many thanks Donald and all good wishes in helping to clean up the American government. Honored to be your friend. C.,FALSE,3248
2015-12-15 23:21:00,"December 15, 2015 11:21 PM",Tuesday,2321,Departing for #GOPDebate. Let's #MakeAmericaGreatAgain!  ,FALSE,3249
2015-12-16 00:05:00,"December 16, 2015 12:05 AM",Wednesday,0005,#GOPDebate #Trump2016,FALSE,3250
2015-12-16 00:12:00,"December 16, 2015 12:12 AM",Wednesday,0012,We're not talking about religion; we're talking about security. #GOPDebate,FALSE,3251
2015-12-16 02:21:00,"December 16, 2015 02:21 AM",Wednesday,0221,Thank you @  FrankLuntz - for saying I was a winner tonight. It is my great honor. #Trump2016,FALSE,3252
2015-12-16 11:14:00,"December 16, 2015 11:14 AM",Wednesday,1114,@insuradude: The fix is in Donald did his best performance and @  MarkHalperin @  Morning_Joe has Jeb scoring higher? Jeb looked in pain  Joke,FALSE,3253
2015-12-16 11:29:00,"December 16, 2015 11:29 AM",Wednesday,1129,Thank you so many people have given me credit for winning the debate last night. All polls agree. It was fun and interesting!,FALSE,3254
2015-12-16 11:40:00,"December 16, 2015 11:40 AM",Wednesday,1140,Thank you @  davidaxelrod for your nice words this morning on @  CNN. It was a good night!,FALSE,3255
2015-12-16 11:46:00,"December 16, 2015 11:46 AM",Wednesday,1146,.@  MarkHalperin works so hard but just doesn't have a natural instinct for politics. Others do and those are the people you want to follow!,FALSE,3256
2015-12-16 11:49:00,"December 16, 2015 11:49 AM",Wednesday,1149,Bill O'Reilly calls Trump and  campaign brilliant. In first place by 27 points.,FALSE,3257
2015-12-16 12:53:00,"December 16, 2015 12:53 PM",Wednesday,1253,Will be interviewed on the @  oreillyfactor tonight at 8:00 P.M. Will be talking about the debate and more!,FALSE,3258
2015-12-16 12:58:00,"December 16, 2015 12:58 PM",Wednesday,1258,Thank you for the nice words @  ktmcfarland. The debate was interesting and fun. Keep up the great work!,FALSE,3259
2015-12-16 13:20:00,"December 16, 2015 01:20 PM",Wednesday,1320,Jeb Bush had a tough night at the debate. Now he'll probably take some of his special interest money he is their puppet and buy ad's.,FALSE,3260
2015-12-16 13:25:00,"December 16, 2015 01:25 PM",Wednesday,1325,@BornToBeGOP: @  realDonaldTrump @  oreillyfactor The only person in politics who shouldnt have term limits is President Trump!  Cute!,FALSE,3261
2015-12-16 13:26:00,"December 16, 2015 01:26 PM",Wednesday,1326,@2timeslucky: @  realDonaldTrump @  oreillyfactor You were amazing !,FALSE,3262
2015-12-16 13:25:00,"December 16, 2015 01:25 PM",Wednesday,1325,@SteelerDan619: @  realDonaldTrump @  oreillyfactor Your the man!!,FALSE,3263
2015-12-16 13:26:00,"December 16, 2015 01:26 PM",Wednesday,1326,@chained111: @  realDonaldTrump @  oreillyfactor yes sir,FALSE,3264
2015-12-16 13:27:00,"December 16, 2015 01:27 PM",Wednesday,1327,@EndlessMike03: @  realDonaldTrump @  oreillyfactor OMG awesome! What time zone!?,FALSE,3265
2015-12-16 13:29:00,"December 16, 2015 01:29 PM",Wednesday,1329,Hillary Clinton is weak and ineffective - no strength no stamina.,FALSE,3266
2015-12-16 17:20:00,"December 16, 2015 05:20 PM",Wednesday,1720,Clear winner of the #GOPDebate. Thank you for your support! #MakeAmericaGreatAgain #Trump2016 ,FALSE,3267
2015-12-16 22:43:00,"December 16, 2015 10:43 PM",Wednesday,2243,Will be on @  jimmykimmel tonight at 11:35pmE on @  ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain,FALSE,3268
